"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","[@smoke@regression]Checkout the form with valid credentials","firefox","Tue Jan 21 23:47:54 ART 2025","skipped","Tue Jan 21 23:47:54 ART 2025","Checkout Step One Test - Regression","e2e\CheckoutStepOneTests.spec.ts","",""
"","1","[@smoke@regression]Add item at the cart","firefox","Tue Jan 21 23:47:54 ART 2025","skipped","Tue Jan 21 23:47:54 ART 2025","Inventory Page Tests - Regression","e2e\InventoryTests.spec.ts","",""
"","6509","[@smoke@regression]Filter the products by Price low to high","firefox","Wed Jan 22 15:46:00 ART 2025","passed","Wed Jan 22 15:46:07 ART 2025","Inventory Page Tests","e2e\InventoryTests.spec.ts","",""
"","0","[@smoke@regression]Filter the products by Price high to low","webkit","Tue Jan 21 23:47:54 ART 2025","skipped","Tue Jan 21 23:47:54 ART 2025","Inventory Page Tests - Regression","e2e\InventoryTests.spec.ts","",""
"","5323","[@smoke@regression]Add item at the cart","chromium","Wed Jan 22 15:44:43 ART 2025","passed","Wed Jan 22 15:44:48 ART 2025","Inventory Page Tests","e2e\InventoryTests.spec.ts","",""
"","3072","[@regression]Checkout the form with only first name and postal code input field filled","chromium","Wed Jan 22 15:35:06 ART 2025","passed","Wed Jan 22 15:35:09 ART 2025","Checkout Step One Test","e2e\CheckoutStepOneTests.spec.ts","",""
"","3315","[@regression]Checkout the form with last name input field filled with special characters","chromium","Wed Jan 22 15:35:12 ART 2025","passed","Wed Jan 22 15:35:16 ART 2025","Checkout Step One Test","e2e\CheckoutStepOneTests.spec.ts","",""
"","3314","[@smoke@regression]Add and remove an item from the cart","chromium","Wed Jan 22 15:44:44 ART 2025","passed","Wed Jan 22 15:44:47 ART 2025","Inventory Page Tests","e2e\InventoryTests.spec.ts","",""
"","6289","[@smoke@regression]Filter the products by Price low to high","webkit","Wed Jan 22 15:47:09 ART 2025","passed","Wed Jan 22 15:47:15 ART 2025","Inventory Page Tests","e2e\InventoryTests.spec.ts","",""
"","1","[@smoke@regression]Filter the products by Name (Z to A)","chromium","Tue Jan 21 23:47:54 ART 2025","skipped","Tue Jan 21 23:47:54 ART 2025","Inventory Page Tests - Regression","e2e\InventoryTests.spec.ts","",""
"","3582","[@smoke@regression]Filter the products by Name (A to Z)","chromium","Wed Jan 22 15:44:48 ART 2025","passed","Wed Jan 22 15:44:52 ART 2025","Inventory Page Tests","e2e\InventoryTests.spec.ts","",""
"","7572","[@smoke@regression]Filter the products by Price high to low","firefox","Wed Jan 22 15:46:01 ART 2025","passed","Wed Jan 22 15:46:09 ART 2025","Inventory Page Tests","e2e\InventoryTests.spec.ts","",""
"","0","[@smoke@regression]Verify Inventory page test","webkit","Tue Jan 21 23:47:54 ART 2025","skipped","Tue Jan 21 23:47:54 ART 2025","Inventory Page Tests - Regression","e2e\InventoryTests.spec.ts","",""
"","0","[@smoke]Verify the footer page are displayed","webkit","Tue Jan 21 23:47:54 ART 2025","skipped","Tue Jan 21 23:47:54 ART 2025","Footer Page Tests - Smoke","e2e\FooterTests.spec.ts","",""
"","0","[@smoke@regression]Add item at the cart","webkit","Tue Jan 21 23:47:54 ART 2025","skipped","Tue Jan 21 23:47:54 ART 2025","Inventory Page Tests - Regression","e2e\InventoryTests.spec.ts","",""
"","3655","[@regression]Checkout the form with only last name and postal code input field filled","chromium","Wed Jan 22 15:35:05 ART 2025","passed","Wed Jan 22 15:35:09 ART 2025","Checkout Step One Test","e2e\CheckoutStepOneTests.spec.ts","",""
"","1","[@smoke@regression]Add and remove an item from the cart","firefox","Tue Jan 21 23:47:54 ART 2025","skipped","Tue Jan 21 23:47:54 ART 2025","Inventory Page Tests - Regression","e2e\InventoryTests.spec.ts","",""
"","0","[@smoke@regression]Filter the products by Name (Z to A)","webkit","Tue Jan 21 23:47:54 ART 2025","skipped","Tue Jan 21 23:47:54 ART 2025","Inventory Page Tests - Regression","e2e\InventoryTests.spec.ts","",""
"","2770","[@smoke@regression]Attempt to log in with invalid credentials","chromium","Wed Jan 22 15:44:57 ART 2025","passed","Wed Jan 22 15:44:59 ART 2025","Login Page Tests","e2e\LoginTests.spec.ts","",""
"","2384","[@regression]Login test for user: problem_user","chromium","Wed Jan 22 15:35:39 ART 2025","passed","Wed Jan 22 15:35:42 ART 2025","Login Page Tests > Valid Users Credentials Tests","e2e\LoginTests.spec.ts","",""
"","6163","[@smoke@regression]Filter the products by Name (A to Z)","firefox","Wed Jan 22 15:45:55 ART 2025","passed","Wed Jan 22 15:46:01 ART 2025","Inventory Page Tests","e2e\InventoryTests.spec.ts","",""
"","2240","[@smoke@regression]Verify Login page","chromium","Wed Jan 22 15:44:54 ART 2025","passed","Wed Jan 22 15:44:56 ART 2025","Login Page Tests","e2e\LoginTests.spec.ts","",""
"","3234","[@regression]Checkout the form with first name input field filled with special characters","chromium","Wed Jan 22 15:35:12 ART 2025","passed","Wed Jan 22 15:35:15 ART 2025","Checkout Step One Test","e2e\CheckoutStepOneTests.spec.ts","",""
"","7716","[@smoke@regression]Filter the products by Name (Z to A)","firefox","Wed Jan 22 15:45:53 ART 2025","passed","Wed Jan 22 15:46:00 ART 2025","Inventory Page Tests","e2e\InventoryTests.spec.ts","",""
"","1","[@smoke@regression]Verify the checkout step one page are displayed","firefox","Tue Jan 21 23:47:54 ART 2025","skipped","Tue Jan 21 23:47:54 ART 2025","Checkout Step One Test - Regression","e2e\CheckoutStepOneTests.spec.ts","",""
"","2626","[@regression]Login test for user: error_user","chromium","Wed Jan 22 15:35:48 ART 2025","passed","Wed Jan 22 15:35:50 ART 2025","Login Page Tests > Valid Users Credentials Tests","e2e\LoginTests.spec.ts","",""
