"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","649","[@smoke@regression]Verify Login page","webkit","Sun Jan 26 20:40:43 UTC 2025","passed","Sun Jan 26 20:40:43 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","929","[@smoke@regression]Filter the products by Name (A to Z)","webkit","Sun Jan 26 20:40:40 UTC 2025","passed","Sun Jan 26 20:40:41 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","487","[@smoke@regression]Verify that there are not products in the cart","firefox","Sun Jan 26 20:39:46 UTC 2025","passed","Sun Jan 26 20:39:47 UTC 2025","Cart Page Test","e2e/CartTests.spec.ts","",""
"","942","[@smoke@regression]Filter the products by Price low to high","webkit","Sun Jan 26 20:40:41 UTC 2025","passed","Sun Jan 26 20:40:42 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","372","[@regression]Login test for user: standard_user","chromium","Sun Jan 26 20:39:37 UTC 2025","passed","Sun Jan 26 20:39:37 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","710","[@regression]Attempt to log in with only the username field filled","webkit","Sun Jan 26 20:40:46 UTC 2025","passed","Sun Jan 26 20:40:46 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","863","[@regression]Checkout the form with only last name and postal code input field filled","webkit","Sun Jan 26 20:40:29 UTC 2025","passed","Sun Jan 26 20:40:30 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","458","[@regression]Checkout the form with first name input field filled with special characters","chromium","Sun Jan 26 20:39:30 UTC 2025","passed","Sun Jan 26 20:39:30 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","928","[@smoke@regression]Add and remove an item from the cart","webkit","Sun Jan 26 20:40:38 UTC 2025","passed","Sun Jan 26 20:40:39 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","345","[@smoke@regression]Verify the checkout step one page are displayed","chromium","Sun Jan 26 20:39:27 UTC 2025","passed","Sun Jan 26 20:39:28 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","413","[@regression]Checkout the form with only first name and postal code input field filled","chromium","Sun Jan 26 20:39:29 UTC 2025","passed","Sun Jan 26 20:39:29 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","857","[@regression]Login test for user: standard_user","webkit","Sun Jan 26 20:40:47 UTC 2025","passed","Sun Jan 26 20:40:48 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","393","[@regression]Checkout the form with postal code input field filled with special characters","chromium","Sun Jan 26 20:39:31 UTC 2025","passed","Sun Jan 26 20:39:31 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","910","[@regression]Checkout the form with only first name and last name input field filled","webkit","Sun Jan 26 20:40:31 UTC 2025","passed","Sun Jan 26 20:40:32 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","660","[@smoke@regression]Filter the products by Name (Z to A)","firefox","Sun Jan 26 20:39:56 UTC 2025","passed","Sun Jan 26 20:39:56 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","918","[@smoke@regression]Checkout the form with valid credentials","webkit","Sun Jan 26 20:40:28 UTC 2025","passed","Sun Jan 26 20:40:29 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","926","[@regression]Checkout the form with postal code input field filled with special characters","webkit","Sun Jan 26 20:40:34 UTC 2025","passed","Sun Jan 26 20:40:35 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","674","[@smoke@regression]Add and remove an item from the cart","firefox","Sun Jan 26 20:39:55 UTC 2025","passed","Sun Jan 26 20:39:56 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","1062","[@regression]Login test for user: problem_user","firefox","Sun Jan 26 20:40:03 UTC 2025","passed","Sun Jan 26 20:40:04 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","691","[@regression]Checkout the form with first name input field filled with special characters","firefox","Sun Jan 26 20:39:51 UTC 2025","passed","Sun Jan 26 20:39:52 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","611","[@regression]Login test for user: standard_user","firefox","Sun Jan 26 20:40:02 UTC 2025","passed","Sun Jan 26 20:40:03 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","1309","[@smoke]Verify the cart page is displayed","firefox","Sun Jan 26 20:39:44 UTC 2025","passed","Sun Jan 26 20:39:45 UTC 2025","Cart Page Test","e2e/CartTests.spec.ts","",""
"","876","[@regression]Checkout the form with last name input field filled with special characters","webkit","Sun Jan 26 20:40:33 UTC 2025","passed","Sun Jan 26 20:40:34 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","13606","[@smoke]Verify the cart page is displayed","webkit","Sun Jan 26 20:40:12 UTC 2025","passed","Sun Jan 26 20:40:25 UTC 2025","Cart Page Test","e2e/CartTests.spec.ts","",""
"","644","[@regression]Checkout the form missing all input field","firefox","Sun Jan 26 20:39:50 UTC 2025","passed","Sun Jan 26 20:39:51 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","906","[@regression]Checkout the form with first name input field filled with special characters","webkit","Sun Jan 26 20:40:33 UTC 2025","passed","Sun Jan 26 20:40:33 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","410","[@regression]Checkout the form missing all input field","chromium","Sun Jan 26 20:39:29 UTC 2025","passed","Sun Jan 26 20:39:30 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","588","[@smoke@regression]Verify the checkout step one page are displayed","firefox","Sun Jan 26 20:39:47 UTC 2025","passed","Sun Jan 26 20:39:47 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","895","[@regression]Login test for user: problem_user","webkit","Sun Jan 26 20:40:48 UTC 2025","passed","Sun Jan 26 20:40:49 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","474","[@smoke@regression]Checkout the form with valid credentials","chromium","Sun Jan 26 20:39:28 UTC 2025","passed","Sun Jan 26 20:39:28 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","570","[@regression]Attempt to log in with only the username field filled","firefox","Sun Jan 26 20:40:01 UTC 2025","passed","Sun Jan 26 20:40:01 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","673","[@regression]Checkout the form with only first name and last name input field filled","firefox","Sun Jan 26 20:39:50 UTC 2025","passed","Sun Jan 26 20:39:50 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","709","[@smoke@regression]Attempt to log in with invalid credentials","webkit","Sun Jan 26 20:40:44 UTC 2025","passed","Sun Jan 26 20:40:45 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","345","[@regression]Attempt to log in with special characters in the username field filled","chromium","Sun Jan 26 20:39:36 UTC 2025","passed","Sun Jan 26 20:39:37 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","5873","[@regression]Login test for user: performance_glitch_user","webkit","Sun Jan 26 20:40:49 UTC 2025","passed","Sun Jan 26 20:40:55 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","552","[@regression]Login test for user: visual_user","firefox","Sun Jan 26 20:40:10 UTC 2025","passed","Sun Jan 26 20:40:10 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","762","[@regression]Checkout the form with postal code input field filled with special characters","firefox","Sun Jan 26 20:39:52 UTC 2025","passed","Sun Jan 26 20:39:53 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","401","[@smoke@regression]Filter the products by Name (Z to A)","chromium","Sun Jan 26 20:39:33 UTC 2025","passed","Sun Jan 26 20:39:33 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","395","[@regression]Checkout the form with only first name and last name input field filled","chromium","Sun Jan 26 20:39:29 UTC 2025","passed","Sun Jan 26 20:39:29 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","268","[@smoke@regression]Verify Login page","chromium","Sun Jan 26 20:39:34 UTC 2025","passed","Sun Jan 26 20:39:35 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","600","[@regression]Attempt to log in with special characters in the username field filled","firefox","Sun Jan 26 20:40:01 UTC 2025","passed","Sun Jan 26 20:40:02 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","939","[@smoke@regression]Filter the products by Name (Z to A)","webkit","Sun Jan 26 20:40:39 UTC 2025","passed","Sun Jan 26 20:40:40 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","738","[@smoke]Verify the footer page are displayed","chromium","Sun Jan 26 20:39:31 UTC 2025","passed","Sun Jan 26 20:39:32 UTC 2025","Footer Page Tests","e2e/FooterTests.spec.ts","",""
"","663","[@regression]Checkout the form with only first name and postal code input field filled","firefox","Sun Jan 26 20:39:49 UTC 2025","passed","Sun Jan 26 20:39:50 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","713","[@smoke@regression]Log in with valid credentials","firefox","Sun Jan 26 20:39:59 UTC 2025","passed","Sun Jan 26 20:40:00 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","707","[@smoke]Verify the footer page are displayed","firefox","Sun Jan 26 20:39:53 UTC 2025","passed","Sun Jan 26 20:39:54 UTC 2025","Footer Page Tests","e2e/FooterTests.spec.ts","",""
"","446","[@regression]Checkout the form with only last name and postal code input field filled","chromium","Sun Jan 26 20:39:28 UTC 2025","passed","Sun Jan 26 20:39:29 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","897","[@smoke@regression]Add item at the cart","webkit","Sun Jan 26 20:40:37 UTC 2025","passed","Sun Jan 26 20:40:38 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","394","[@smoke@regression]Add item at the cart","chromium","Sun Jan 26 20:39:32 UTC 2025","passed","Sun Jan 26 20:39:33 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","705","[@regression]Attempt to log in with only the password field filled","webkit","Sun Jan 26 20:40:45 UTC 2025","passed","Sun Jan 26 20:40:46 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","707","[@smoke@regression]Filter the products by Price high to low","firefox","Sun Jan 26 20:39:58 UTC 2025","passed","Sun Jan 26 20:39:58 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
